[2021-10-23 13:22:35.965] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode'
[2021-10-23 13:22:35.966] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode'
[2021-10-23 13:22:35.967] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/settings.json'
[2021-10-23 13:22:35.968] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/settings.json'
[2021-10-23 13:22:35.969] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/tasks.json'
[2021-10-23 13:22:35.970] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/tasks.json'
[2021-10-23 13:22:35.971] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/launch.json'
[2021-10-23 13:22:35.971] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/launch.json'
[2021-10-23 13:29:10.077] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode'
[2021-10-23 13:29:10.078] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode'
[2021-10-23 13:29:10.079] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/settings.json'
[2021-10-23 13:29:10.080] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/settings.json'
[2021-10-23 13:29:10.081] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/tasks.json'
[2021-10-23 13:29:10.083] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/tasks.json'
[2021-10-23 13:29:10.084] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/launch.json'
[2021-10-23 13:29:10.084] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/launch.json'
